Timestamp,Redox value,Temperature
2019/1/15 0:5:36,-86.12723500000000000000,16.48444000000000000000
2019/1/15 0:20:59,-86.24511000000000000000,16.46688300000000000000
2019/1/15 0:36:22,-86.34242200000000000000,16.45767800000000000000
2019/1/15 0:51:45,-86.47889700000000000000,16.47182300000000000000
2019/1/15 1:7:7,-86.63541400000000000000,16.49463500000000000000
2019/1/15 1:22:30,-86.72501400000000000000,16.54157100000000000000
2019/1/15 1:37:52,-86.84407800000000000000,16.56458700000000000000
2019/1/15 1:53:15,-86.86883500000000000000,16.59355500000000000000
2019/1/15 2:8:38,-86.99431600000000000000,16.64704700000000000000
2019/1/15 2:24:1,-87.14121200000000000000,16.66652100000000000000
2019/1/15 2:39:23,-87.25282300000000000000,16.70480000000000000000
2019/1/15 2:54:45,-87.41182700000000000000,16.75387200000000000000
2019/1/15 3:10:8,-87.47666200000000000000,16.77945100000000000000
2019/1/15 3:25:30,-87.49394200000000000000,16.75391000000000000000
2019/1/15 3:40:53,-87.65708900000000000000,16.55477100000000000000
2019/1/15 3:56:15,-87.88125600000000000000,16.44918400000000000000
2019/1/15 4:11:37,-87.96862800000000000000,16.42392700000000000000
2019/1/15 4:27:0,-88.07373000000000000000,16.44226500000000000000
2019/1/15 4:42:22,-88.10242500000000000000,16.45944800000000000000
2019/1/15 4:57:44,-88.23613000000000000000,16.47353200000000000000
2019/1/15 5:13:7,-88.28566000000000000000,16.50730100000000000000
2019/1/15 5:28:29,-88.46771200000000000000,16.54174600000000000000
2019/1/15 5:43:51,-88.54591400000000000000,16.56695400000000000000
2019/1/15 5:59:13,-88.67209600000000000000,16.61856300000000000000
2019/1/15 6:14:36,-88.75917100000000000000,16.65551900000000000000
2019/1/15 6:29:58,-88.90767700000000000000,16.68668400000000000000
2019/1/15 6:45:21,-88.94661700000000000000,16.74859200000000000000
2019/1/15 7:0:43,-89.02999900000000000000,16.76597000000000000000
2019/1/15 7:16:5,-89.08477000000000000000,16.72906100000000000000
2019/1/15 7:31:28,-89.25944500000000000000,16.54031400000000000000
2019/1/15 7:46:50,-68.67904700000000000000,16.39619100000000000000
2019/1/15 8:2:13,55.59008000000000000000,16.70013800000000000000
2019/1/15 8:17:35,11.30888700000000000000,16.31828700000000000000
2019/1/15 8:32:58,-24.41262400000000000000,16.26878700000000000000
2019/1/15 8:48:20,-40.42369500000000000000,16.16335500000000000000
2019/1/15 9:3:44,-50.52821000000000000000,16.18477800000000000000
2019/1/15 9:19:6,-57.78474800000000000000,16.23934900000000000000
2019/1/15 9:34:29,-63.07938400000000000000,16.28811500000000000000
2019/1/15 9:49:52,-67.27667200000000000000,16.35848200000000000000
2019/1/15 10:5:15,-70.58525100000000000000,16.40959500000000000000
2019/1/15 10:20:38,-73.30533600000000000000,16.47382500000000000000
2019/1/15 10:36:0,-75.44751000000000000000,16.55192600000000000000
2019/1/15 10:51:23,-77.24464400000000000000,16.64561800000000000000
2019/1/15 11:6:46,-78.69941700000000000000,16.67911100000000000000
2019/1/15 11:22:9,-79.96192900000000000000,16.76052500000000000000
2019/1/15 11:37:32,-80.97753100000000000000,16.84920900000000000000
2019/1/15 11:52:54,-81.98339800000000000000,16.91370000000000000000
2019/1/15 12:8:17,-82.71921500000000000000,16.95841600000000000000
2019/1/15 12:23:39,-83.39140300000000000000,17.04320300000000000000
2019/1/15 12:39:2,-83.96073200000000000000,17.06309100000000000000
2019/1/15 12:54:25,-84.48364300000000000000,16.92340900000000000000
2019/1/15 13:9:47,-84.93833900000000000000,16.77782100000000000000
2019/1/15 13:25:10,-85.25730900000000000000,16.76741000000000000000
2019/1/15 13:40:33,-85.62674700000000000000,16.77758400000000000000
2019/1/15 13:55:55,-85.85064700000000000000,16.80582600000000000000
2019/1/15 14:11:18,-86.20707700000000000000,16.86176300000000000000
2019/1/15 14:26:40,-86.40789800000000000000,16.86624000000000000000
2019/1/15 14:42:3,-86.53518700000000000000,16.91431800000000000000
2019/1/15 14:57:25,-86.81642200000000000000,17.01149400000000000000
2019/1/15 15:12:48,-86.88106500000000000000,16.85260800000000000000
2019/1/15 15:28:10,-86.86024500000000000000,16.90745200000000000000
2019/1/15 15:43:33,-86.82718700000000000000,16.94161000000000000000
2019/1/15 15:58:55,-86.94169600000000000000,16.81825600000000000000
2019/1/15 16:14:18,-87.09162100000000000000,16.74025500000000000000
2019/1/15 16:29:40,-87.20471200000000000000,16.75171300000000000000
2019/1/15 16:45:3,-87.30092600000000000000,16.77252600000000000000
2019/1/15 17:0:25,-87.36204500000000000000,16.83211900000000000000
2019/1/15 17:15:48,-87.50241100000000000000,16.86693000000000000000
2019/1/15 17:31:10,-87.62254300000000000000,16.92858900000000000000
2019/1/15 17:46:33,-87.62599900000000000000,16.97117200000000000000
2019/1/15 18:1:56,-87.83298500000000000000,17.04050800000000000000
2019/1/15 18:17:18,-87.86098500000000000000,17.08021700000000000000
2019/1/15 18:32:41,-87.94725000000000000000,17.15726900000000000000
2019/1/15 18:48:3,-87.97300700000000000000,17.22213200000000000000
2019/1/15 19:3:26,-88.12956200000000000000,17.17522800000000000000
2019/1/15 19:18:48,-88.17251600000000000000,17.03641900000000000000
2019/1/15 19:34:11,-88.36274000000000000000,16.93143500000000000000
2019/1/15 19:49:34,-88.45166000000000000000,16.93670300000000000000
2019/1/15 20:4:56,-88.42116500000000000000,16.95429400000000000000
2019/1/15 20:20:19,-88.53737600000000000000,16.96810000000000000000
2019/1/15 20:35:42,-88.49575800000000000000,17.01743100000000000000
2019/1/15 20:51:4,-88.57083900000000000000,17.05937400000000000000
2019/1/15 21:6:27,-88.52742800000000000000,17.10952800000000000000
2019/1/15 21:21:50,-88.58624300000000000000,17.15844200000000000000
2019/1/15 21:37:12,-88.59687800000000000000,17.21575700000000000000
2019/1/15 21:52:35,-88.64961200000000000000,17.27869200000000000000
2019/1/15 22:7:57,-88.61679100000000000000,17.35269500000000000000
2019/1/15 22:23:19,-88.59893800000000000000,17.32377400000000000000
2019/1/15 22:38:42,-88.73602300000000000000,17.17226400000000000000
2019/1/15 22:54:4,-88.72330500000000000000,17.05891800000000000000
2019/1/15 23:9:27,-88.84668000000000000000,17.06332000000000000000
2019/1/15 23:24:49,-88.87564100000000000000,17.07899100000000000000
2019/1/15 23:40:12,-88.93741600000000000000,17.09679200000000000000
2019/1/15 23:55:34,-88.84187300000000000000,17.14335800000000000000
